,glo_avg,dir_avg,diff_avg,lw_avg,par_avg,lux_avg,tp_sfc,humid,press,rain,ws_10m,wd_10m
7888,382.7,27.67,356.5,384.5,786.0,39.81,22.19,77.5,905.33,0.0,1.422,16.6
7889,383.4,30.67,355.3,383.8,787.0,39.89,22.27,78.9,905.33,0.0,1.625,34.9
7890,387.8,43.33,351.5,383.4,799.0,40.54,22.26,78.6,905.27,0.0,1.461,31.6
7891,414.2,87.2,349.2,383.5,856.0,43.53,22.37,78.2,905.32,0.0,1.398,36.5
7892,393.3,53.07,349.0,383.2,809.0,41.06,22.4,79.3,905.32,0.0,1.341,26.9
7893,388.6,44.82,349.3,382.5,800.0,40.53,22.39,78.2,905.32,0.0,1.211,17.5
7894,391.7,49.04,349.5,382.5,807.0,40.92,22.52,76.9,905.38,0.0,0.787,25.7
7895,387.1,42.4,349.7,382.2,797.0,40.37,22.52,78.6,905.38,0.0,1.043,15.3
7896,388.2,41.7,350.5,381.9,798.0,40.42,22.53,77.7,905.44,0.0,1.487,13.7
7897,395.4,49.22,351.9,381.0,815.0,41.26,22.57,78.5,905.44,0.0,1.508,16.9
7898,407.2,64.33,353.0,380.2,840.0,42.58,22.58,76.7,905.38,0.0,1.971,18.4
7899,425.6,94.9,351.7,379.1,881.0,44.71,22.52,76.0,905.38,0.0,2.246,10.2
7900,415.6,85.5,347.2,378.1,862.0,43.71,22.63,75.7,905.37,0.0,1.796,357.0
7901,417.9,98.7,340.2,377.3,870.0,44.16,22.58,74.5,905.37,0.0,1.914,3.2
7902,441.8,147.5,332.8,376.5,924.0,46.86,22.53,74.2,905.37,0.0,1.487,12.9
7903,399.8,96.2,324.2,374.6,830.0,42.05,22.58,77.6,905.37,0.0,1.726,22.6
7904,372.0,68.23,315.8,373.2,773.0,39.12,22.6,76.5,905.37,0.0,1.056,22.9
7905,355.0,52.45,309.9,371.7,737.0,37.24,22.68,75.3,905.37,0.0,1.016,18.5
7906,352.5,55.07,305.5,371.1,730.0,36.92,22.71,75.9,905.37,0.0,0.8759999999999999,18.3
7907,331.3,42.39,294.5,370.2,689.2,34.79,22.78,75.7,905.37,0.0,0.7440000000000001,20.6
7908,363.8,83.1,297.7,370.3,758.0,38.36,22.66,77.4,905.31,0.0,1.041,6.6
7909,384.0,107.5,301.1,371.6,799.0,40.49,22.88,78.1,905.31,0.0,0.942,24.8
7910,402.0,130.0,302.9,373.6,835.0,42.32,22.81,76.3,905.36,0.0,1.243,37.2
7911,449.9,207.5,295.0,373.3,941.0,47.8,22.93,75.5,905.3,0.0,1.753,22.1
7912,556.0,381.3,280.6,371.2,1149.0,58.43,22.97,77.0,905.36,0.0,1.818,19.1
7913,626.4,499.2,264.7,369.6,1290.0,65.82,23.11,75.5,905.36,0.0,1.493,349.4
7914,826.0,792.0,258.3,369.6,1654.0,84.5,23.11,76.7,905.36,0.0,1.189,358.4
7915,570.5,419.4,263.1,371.4,1163.0,59.15,23.24,75.3,905.42,0.0,1.165,349.3
7916,572.4,394.0,281.1,374.1,1176.0,59.74,23.27,76.8,905.36,0.0,1.404,347.1
7917,560.7,360.1,291.9,375.2,1158.0,58.78,23.47,75.8,905.41,0.0,1.2819999999999998,345.1
7918,556.5,385.2,270.6,372.5,1155.0,58.57,23.42,73.4,905.41,0.0,1.561,354.3
7919,599.0,453.0,261.7,371.5,1241.0,63.06,23.43,73.1,905.41,0.0,1.5219999999999998,14.6
7920,743.0,648.3,260.1,370.7,1521.0,77.5,23.47,74.4,905.47,0.0,1.412,34.2
7921,652.0,516.2,260.9,370.0,1338.0,68.16,23.52,74.5,905.41,0.0,1.947,39.4
7922,659.8,528.6,263.0,371.1,1357.0,68.83,23.55,72.6,905.4,0.0,1.709,48.1
7923,767.0,678.6,260.2,371.5,1561.0,79.3,23.56,73.1,905.4,0.0,1.331,37.4
7924,827.0,780.0,244.3,370.5,1676.0,85.2,23.61,72.1,905.46,0.0,1.886,35.2
7925,750.0,702.0,221.7,368.4,1516.0,77.1,23.68,74.5,905.4,0.0,2.369,45.0
7926,636.1,563.1,212.8,368.5,1311.0,66.45,23.76,71.3,905.4,0.0,2.286,41.5
7927,784.0,757.0,213.7,371.7,1602.0,81.4,23.73,69.02,905.46,0.0,1.796,37.3
7928,845.0,854.0,201.2,371.7,1712.0,87.0,23.71,71.4,905.4,0.0,1.612,51.2
7929,805.0,818.0,183.5,368.2,1625.0,82.7,23.81,75.9,905.39,0.0,2.225,42.1
7930,738.0,714.0,191.9,367.6,1501.0,76.3,23.86,69.73,905.39,0.0,2.687,49.6
7931,678.5,615.9,203.1,369.3,1399.0,71.0,23.86,70.1,905.39,0.0,2.319,38.4
7932,737.0,709.0,188.5,371.8,1499.0,76.2,23.77,68.65,905.51,0.0,2.153,36.0
7933,514.4,416.4,189.2,372.5,1072.0,54.14,23.81,72.7,905.45,0.0,2.152,41.1
7934,635.7,572.2,189.7,375.8,1318.0,66.95,23.84,71.5,905.45,0.0,2.377,26.6
7935,828.0,827.0,187.6,377.5,1697.0,86.1,23.76,72.2,905.51,0.0,2.269,33.0
7936,862.0,873.0,183.2,376.7,1744.0,88.7,23.76,69.53,905.45,0.0,2.079,43.8
7937,854.0,864.0,180.3,375.4,1727.0,87.8,23.81,74.6,905.51,0.0,2.264,23.9
